preprocesamiento,extraccion_parches,generacion_embeddings,codificacion_posicional,pos_encoding_type,visualizacion,patch_size,embed_dim,num_patches,total,memoria_patches_mb,memoria_embeddings_mb,memoria_pos_encoding_mb,memoria_total_mb
0.17975711822509766,5.09398078918457,0.19948554039001465,0.005149126052856445,sinusoidal,0.26082491874694824,36,8,625,5.739197492599487,9.26971435546875,0.019073486328125,0,9.288787841796875
0.02584075927734375,5.662004470825195,0.0017209053039550781,0.00027942657470703125,sinusoidal,0.283297061920166,36,16,625,5.973142623901367,9.26971435546875,0.03814697265625,0,9.307861328125
0.02648162841796875,5.807921648025513,0.0020074844360351562,0.00029468536376953125,sinusoidal,0.35904502868652344,36,32,625,6.19575047492981,9.26971435546875,0.0762939453125,0,9.34600830078125
0.02603745460510254,5.599240303039551,0.0027751922607421875,0.0006160736083984375,sinusoidal,0.5681760311126709,36,64,625,6.196845054626465,9.26971435546875,0.152587890625,0,9.42230224609375
0.026682138442993164,5.755548000335693,0.003040790557861328,0.00040531158447265625,sinusoidal,0.930706262588501,36,128,625,6.7163825035095215,9.26971435546875,0.30517578125,0,9.57489013671875
0.02582526206970215,5.991344928741455,0.004742145538330078,0.0005288124084472656,sinusoidal,1.6717658042907715,36,256,625,7.694206953048706,9.26971435546875,0.6103515625,0,9.88006591796875
0.025352001190185547,2.647667169570923,0.0017902851104736328,0.00030922889709472656,sinusoidal,0.21101164817810059,60,8,225,2.8861303329467773,9.26971435546875,0.006866455078125,0,9.276580810546875
0.024602413177490234,1.9095098972320557,0.0019767284393310547,0.0003085136413574219,sinusoidal,0.24953031539916992,60,16,225,2.1859278678894043,9.26971435546875,0.01373291015625,0,9.283447265625
0.0256500244140625,2.176319122314453,0.002596616744995117,0.0003159046173095703,sinusoidal,0.3442683219909668,60,32,225,2.549149990081787,9.26971435546875,0.0274658203125,0,9.29718017578125
0.02378225326538086,1.8564279079437256,0.0035903453826904297,0.0009400844573974609,sinusoidal,0.5169990062713623,60,64,225,2.4017395973205566,9.26971435546875,0.054931640625,0,9.32464599609375
0.02618575096130371,2.1750833988189697,0.006349802017211914,0.0008854866027832031,sinusoidal,0.8753705024719238,60,128,225,3.0838749408721924,9.26971435546875,0.10986328125,0,9.37957763671875
0.024918794631958008,2.085632562637329,0.011312246322631836,0.0009210109710693359,sinusoidal,1.5275421142578125,60,256,225,3.650326728820801,9.26971435546875,0.2197265625,0,9.48944091796875
0.025833606719970703,1.1041502952575684,0.0020596981048583984,0.0008869171142578125,sinusoidal,0.1983335018157959,90,8,100,1.3312640190124512,9.26971435546875,0.0030517578125,0,9.27276611328125
0.025105714797973633,0.9347422122955322,0.002773284912109375,0.0010063648223876953,sinusoidal,0.24636387825012207,90,16,100,1.209991455078125,9.26971435546875,0.006103515625,0,9.27581787109375
0.02522444725036621,0.9509322643280029,0.004064321517944336,0.0009169578552246094,sinusoidal,0.33084845542907715,90,32,100,1.3119864463806152,9.26971435546875,0.01220703125,0,9.28192138671875
0.025783777236938477,0.9604654312133789,0.0065958499908447266,0.002084016799926758,sinusoidal,0.4927256107330322,90,64,100,1.487654685974121,9.26971435546875,0.0244140625,0,9.29412841796875
0.031101465225219727,0.852851152420044,0.012517213821411133,0.0020902156829833984,sinusoidal,0.9894499778747559,90,128,100,1.888010025024414,9.26971435546875,0.048828125,0,9.31854248046875
0.025619029998779297,0.759469747543335,0.02592921257019043,0.002653360366821289,sinusoidal,1.647745132446289,90,256,100,2.461416482925415,9.26971435546875,0.09765625,0,9.36737060546875
0.026879310607910156,0.3579728603363037,0.004245281219482422,0.0044138431549072266,sinusoidal,0.2034435272216797,180,8,25,0.5969548225402832,9.26971435546875,0.000762939453125,0,9.270477294921875
0.025167226791381836,0.22035932540893555,0.0076868534088134766,0.004568815231323242,sinusoidal,0.22551703453063965,180,16,25,0.48329925537109375,9.26971435546875,0.00152587890625,0,9.271240234375
0.02527618408203125,0.40780138969421387,0.012620210647583008,0.0046727657318115234,sinusoidal,0.3143010139465332,180,32,25,0.7646715641021729,9.26971435546875,0.0030517578125,0,9.27276611328125
0.02665567398071289,0.2101149559020996,0.025307893753051758,0.00887751579284668,sinusoidal,0.46522951126098633,180,64,25,0.7361855506896973,9.26971435546875,0.006103515625,0,9.27581787109375
0.02625894546508789,0.40508198738098145,0.06893563270568848,0.008720874786376953,sinusoidal,0.7843725681304932,180,128,25,1.293370008468628,9.26971435546875,0.01220703125,0,9.28192138671875
0.025628328323364258,0.3789832592010498,0.1341233253479004,0.009539127349853516,sinusoidal,1.4061684608459473,180,256,25,1.9544425010681152,9.26971435546875,0.0244140625,0,9.29412841796875
0.030607223510742188,0.35822272300720215,0.010451793670654297,0.011206865310668945,sinusoidal,0.21774077415466309,300,8,9,0.6282293796539307,9.26971435546875,0.000274658203125,0,9.269989013671875
0.025496959686279297,0.12814712524414062,0.017965316772460938,0.011916160583496094,sinusoidal,0.23443603515625,300,16,9,0.41796159744262695,9.26971435546875,0.00054931640625,0,9.270263671875
0.026256322860717773,0.12776899337768555,0.04763603210449219,0.012030363082885742,sinusoidal,0.3161959648132324,300,32,9,0.5298876762390137,9.26971435546875,0.0010986328125,0,9.27081298828125
0.027224063873291016,0.1313636302947998,0.11039590835571289,0.024922609329223633,sinusoidal,0.5840945243835449,300,64,9,0.8780007362365723,9.26971435546875,0.002197265625,0,9.27191162109375
0.026378870010375977,0.1305844783782959,0.1836986541748047,0.02526378631591797,sinusoidal,0.7539942264556885,300,128,9,1.119920015335083,9.26971435546875,0.00439453125,0,9.27410888671875
