preprocesamiento,extraccion_parches,generacion_embeddings,codificacion_posicional,pos_encoding_type,patch_size,embed_dim,num_patches,total,memoria_patches_mb,memoria_embeddings_mb,memoria_pos_encoding_mb,memoria_total_mb
0.17096805572509766,0.007615566253662109,0.0783243179321289,0.0006022453308105469,sinusoidal,36,8,625,0.2575101852416992,9.26971435546875,0.019073486328125,0,9.288787841796875
0.026836872100830078,0.0002238750457763672,0.0013537406921386719,0.00019049644470214844,sinusoidal,36,16,625,0.028604984283447266,9.26971435546875,0.03814697265625,0,9.307861328125
0.02513599395751953,5.555152893066406e-05,0.0017311573028564453,0.0002243518829345703,sinusoidal,36,32,625,0.02714705467224121,9.26971435546875,0.0762939453125,0,9.34600830078125
0.02665543556213379,5.364418029785156e-05,0.0025527477264404297,0.0002961158752441406,sinusoidal,36,64,625,0.02955794334411621,9.26971435546875,0.152587890625,0,9.42230224609375
0.02849888801574707,5.2928924560546875e-05,0.003633260726928711,0.0003199577331542969,sinusoidal,36,128,625,0.032505035400390625,9.26971435546875,0.30517578125,0,9.57489013671875
0.030175209045410156,6.985664367675781e-05,0.0056612491607666016,0.0004482269287109375,sinusoidal,36,256,625,0.03635454177856445,9.26971435546875,0.6103515625,0,9.88006591796875
0.027803421020507812,5.5789947509765625e-05,0.0013461112976074219,0.0003006458282470703,sinusoidal,60,8,225,0.02950596809387207,9.26971435546875,0.006866455078125,0,9.276580810546875
0.028714895248413086,5.936622619628906e-05,0.0016956329345703125,0.00020241737365722656,sinusoidal,60,16,225,0.030672311782836914,9.26971435546875,0.01373291015625,0,9.283447265625
0.028985261917114258,6.628036499023438e-05,0.0030922889709472656,0.00022268295288085938,sinusoidal,60,32,225,0.03236651420593262,9.26971435546875,0.0274658203125,0,9.29718017578125
0.03013134002685547,6.0558319091796875e-05,0.00416874885559082,0.00084686279296875,sinusoidal,60,64,225,0.035207509994506836,9.26971435546875,0.054931640625,0,9.32464599609375
0.028069496154785156,5.53131103515625e-05,0.007362842559814453,0.0008618831634521484,sinusoidal,60,128,225,0.03634953498840332,9.26971435546875,0.10986328125,0,9.37957763671875
0.02712106704711914,5.984306335449219e-05,0.014740943908691406,0.0009264945983886719,sinusoidal,60,256,225,0.04284834861755371,9.26971435546875,0.2197265625,0,9.48944091796875
0.028441905975341797,6.127357482910156e-05,0.001967906951904297,0.000705718994140625,sinusoidal,90,8,100,0.03117680549621582,9.26971435546875,0.0030517578125,0,9.27276611328125
0.029884815216064453,5.841255187988281e-05,0.003326892852783203,0.0007951259613037109,sinusoidal,90,16,100,0.03406524658203125,9.26971435546875,0.006103515625,0,9.27581787109375
0.030607223510742188,7.677078247070312e-05,0.004953861236572266,0.0006573200225830078,sinusoidal,90,32,100,0.036295175552368164,9.26971435546875,0.01220703125,0,9.28192138671875
0.02778768539428711,6.008148193359375e-05,0.00827646255493164,0.0020875930786132812,sinusoidal,90,64,100,0.038211822509765625,9.26971435546875,0.0244140625,0,9.29412841796875
0.027299165725708008,5.435943603515625e-05,0.016702651977539062,0.0020868778228759766,sinusoidal,90,128,100,0.0461430549621582,9.26971435546875,0.048828125,0,9.31854248046875
0.028477907180786133,5.6743621826171875e-05,0.032634735107421875,0.0023484230041503906,sinusoidal,90,256,100,0.06351780891418457,9.26971435546875,0.09765625,0,9.36737060546875
0.027524471282958984,6.771087646484375e-05,0.005882740020751953,0.004108428955078125,sinusoidal,180,8,25,0.037583351135253906,9.26971435546875,0.000762939453125,0,9.270477294921875
0.023778915405273438,5.078315734863281e-05,0.00827169418334961,0.004336357116699219,sinusoidal,180,16,25,0.0364377498626709,9.26971435546875,0.00152587890625,0,9.271240234375
0.023035287857055664,4.363059997558594e-05,0.01666736602783203,0.004395008087158203,sinusoidal,180,32,25,0.044141292572021484,9.26971435546875,0.0030517578125,0,9.27276611328125
0.023294925689697266,5.4836273193359375e-05,0.03040313720703125,0.008671998977661133,sinusoidal,180,64,25,0.06242489814758301,9.26971435546875,0.006103515625,0,9.27581787109375
0.023400545120239258,4.458427429199219e-05,0.06660079956054688,0.009433507919311523,sinusoidal,180,128,25,0.09947943687438965,9.26971435546875,0.01220703125,0,9.28192138671875
0.023822546005249023,4.935264587402344e-05,0.13136720657348633,0.00949406623840332,sinusoidal,180,256,25,0.1647331714630127,9.26971435546875,0.0244140625,0,9.29412841796875
0.02393054962158203,4.9591064453125e-05,0.010281801223754883,0.011881828308105469,sinusoidal,300,8,9,0.04614377021789551,9.26971435546875,0.000274658203125,0,9.269989013671875
0.02315974235534668,4.0531158447265625e-05,0.023166418075561523,0.01228022575378418,sinusoidal,300,16,9,0.05864691734313965,9.26971435546875,0.00054931640625,0,9.270263671875
0.023517131805419922,4.3392181396484375e-05,0.04662728309631348,0.012090206146240234,sinusoidal,300,32,9,0.08227801322937012,9.26971435546875,0.0010986328125,0,9.27081298828125
0.023934602737426758,5.0067901611328125e-05,0.09074020385742188,0.0247347354888916,sinusoidal,300,64,9,0.13945960998535156,9.26971435546875,0.002197265625,0,9.27191162109375
0.024306774139404297,4.863739013671875e-05,0.17899537086486816,0.025715112686157227,sinusoidal,300,128,9,0.2290658950805664,9.26971435546875,0.00439453125,0,9.27410888671875
0.024497270584106445,5.412101745605469e-05,0.3568441867828369,0.026829957962036133,sinusoidal,300,256,9,0.40822553634643555,9.26971435546875,0.0087890625,0,9.27850341796875
